timeStamp,MSCISmallCap,7XactOMXC25,9MSCIACWI,8MSCIWorld,4SparStabObl,3MajGlObl,MSCIEM,6DkInd,1MSCIMinVol,5BankKortObl,2MajDkObl
2019-02-20,4.441,104.06,42.41,48.257,141.0,103.3,42.819,147.55,40.535,90.7,101.5
2019-02-21,4.435,103.6,42.36,48.23,141.0,103.4,42.503,146.7,40.6,90.7,101.3
2019-02-22,4.4455,104.04,42.615,48.454,140.5,103.4,43.132,147.45,40.795,90.7,101.5
2019-02-25,4.4655,104.5,42.79,48.686,140.45,103.45,43.622,148.1,40.81,90.7,101.3
2019-02-26,4.4455,105.0,42.665,48.54,140.95,103.35,43.294,148.65,40.625,90.84,101.3
2019-02-27,4.426,104.86,42.5,48.393,140.95,103.5,42.916,148.4,40.54,90.74,101.5
2019-02-28,4.4325,105.04,42.415,48.346,140.9,103.35,42.441,148.55,40.665,90.72,101.5
2019-03-01,4.4405,105.4,42.49,48.394,140.3,103.35,42.41,148.8,40.57,90.68,101.5
2019-03-04,4.4585,105.88,42.68,48.631,140.85,103.35,42.603,149.8,40.71,90.68,101.5
2019-03-05,4.4635,105.9,42.825,48.736,140.85,103.4,43.205,149.85,40.875,90.7,101.55
2019-03-06,4.4145,105.9,42.615,48.518,140.45,103.4,43.1,149.9,40.7,90.72,101.35
2019-03-07,4.407,105.38,42.56,48.488,140.45,103.55,42.714,149.45,40.87,90.76,101.5
2019-03-08,4.353,105.36,42.065,47.977,140.75,103.6,42.067,148.6,40.575,90.76,101.6
2019-03-11,4.4035,105.22,42.72,48.64,141.15,103.5,42.903,148.95,41.0,90.74,101.4
2019-03-12,4.411,106.16,42.74,48.675,141.1,103.7,43.003,149.9,41.01,90.9,101.6
2019-03-13,4.4315,106.62,42.925,48.948,141.1,103.75,42.854,150.65,41.2,90.76,101.65
2019-03-14,4.429,107.74,42.945,48.963,140.55,103.5,42.665,151.85,41.16,90.78,101.45
2019-03-15,4.448,107.88,43.2,49.214,141.1,103.85,43.239,152.4,41.33,90.78,101.65
2019-03-18,4.4345,108.46,43.19,49.207,141.1,103.75,43.537,153.2,41.205,90.76,101.5
2019-03-19,4.468,109.28,43.44,49.477,141.1,103.95,43.733,154.0,41.27,90.76,101.7
2019-03-20,4.4015,109.14,42.97,48.947,140.65,103.95,43.221,153.9,40.89,90.78,101.7
2019-03-21,4.4455,109.06,43.24,49.295,140.7,103.85,43.371,153.4,41.255,90.76,101.55
2019-03-22,4.375,107.82,42.93,48.925,140.8,103.9,42.832,152.1,41.33,90.8,101.75
2019-03-25,4.355,106.92,42.66,48.628,141.25,104.35,42.747,151.15,41.225,90.78,101.75
2019-03-26,4.4045,108.18,43.045,49.115,141.3,104.55,42.923,151.9,41.645,90.76,101.75
2019-03-27,4.396,107.72,42.935,49.018,141.2,104.5,42.721,151.6,41.63,90.78,101.8
2019-03-28,4.416,108.54,43.045,49.181,141.5,104.65,42.824,151.65,41.795,90.8,101.6
2019-03-29,4.449,108.2,43.42,49.556,141.5,104.55,43.503,152.0,41.92,90.86,101.7
2019-04-01,4.499,109.44,43.93,50.108,141.35,104.8,44.145,153.65,42.135,90.82,101.8
2019-04-02,4.501,110.46,44.07,50.278,141.35,104.35,44.137,155.2,42.16,91.0,101.8
2019-04-03,4.529,110.28,44.28,50.522,141.15,104.6,44.556,155.1,42.11,90.8,101.75
2019-04-04,4.52,110.1,44.205,50.422,140.8,104.25,44.571,155.25,41.985,91.04,101.65
2019-04-05,4.5515,110.88,44.405,50.63,141.1,104.35,44.946,155.9,42.105,91.04,101.55
2019-04-08,4.536,110.3,44.25,50.456,141.25,104.2,44.724,155.25,41.9,90.82,101.75
2019-04-09,4.509,110.0,44.11,50.26,141.25,104.3,44.7,155.1,41.8,90.82,101.8
2019-04-10,4.523,110.32,44.215,50.358,140.85,104.6,44.939,155.0,41.925,91.0,101.6
2019-04-11,4.532,110.06,44.195,50.402,140.95,104.55,44.427,155.7,41.92,90.82,101.85
2019-04-12,4.541,110.46,44.23,50.428,141.25,104.1,44.672,155.45,41.83,90.8,101.8
2019-04-15,4.5515,111.14,44.23,50.49,140.7,104.35,44.355,156.65,41.87,91.0,101.8
2019-04-16,4.5595,111.22,44.44,50.704,141.15,104.25,44.722,156.8,41.98,90.78,101.7
2019-04-17,4.531,110.48,44.325,50.55,141.1,104.35,44.8,156.0,41.645,90.78,101.75
2019-04-18,4.5425,,44.525,50.792,,,45.024,,41.78,,
2019-04-23,4.5885,110.46,44.895,51.278,141.15,104.6,44.966,155.85,42.07,90.78,101.6
2019-04-24,4.612,110.6,44.95,51.336,141.15,104.45,44.612,156.35,42.165,90.78,101.65
2019-04-25,4.6065,110.6,44.995,51.46,141.25,104.45,44.532,156.2,42.315,90.8,101.65
2019-04-26,4.609,111.28,45.01,51.45,141.2,104.5,44.773,157.9,42.455,90.8,101.8
2019-04-29,4.639,111.96,45.155,51.62,141.2,104.55,44.758,158.05,42.42,90.98,101.85
2019-04-30,4.6005,111.3,44.9,51.362,141.15,104.35,44.434,157.65,42.45,90.76,101.8
2019-05-01,,111.66,,,140.75,104.3,,158.15,,90.76,101.6
2019-05-02,4.564,110.32,44.705,51.134,141.1,104.35,44.371,156.45,42.245,90.76,101.65
2019-05-03,4.614,110.42,45.065,51.504,141.2,104.15,44.937,156.55,42.55,90.76,101.9
2019-05-06,4.592,109.24,44.615,51.07,141.25,104.15,43.89,154.95,42.245,90.8,101.85
2019-05-07,4.563,109.88,44.175,50.568,141.25,104.35,43.268,156.4,42.14,90.76,101.75
2019-05-08,4.5365,110.14,44.055,50.4,141.3,104.25,43.153,156.5,41.95,90.78,101.75
2019-05-09,4.455,108.38,43.265,49.573,140.85,104.15,41.71,155.1,41.505,90.78,101.85
2019-05-10,4.453,108.86,43.205,49.476,141.3,104.0,41.894,155.35,41.535,90.78,101.85
2019-05-13,4.4055,106.8,42.805,49.075,141.3,104.0,40.973,152.65,41.575,90.78,101.85
2019-05-14,4.4565,107.1,43.415,49.776,141.3,104.15,41.738,152.9,42.09,90.78,101.75
2019-05-15,4.4725,106.72,43.53,49.907,141.45,104.2,41.728,152.1,42.16,90.78,101.85
2019-05-16,4.5275,108.32,44.11,50.624,140.95,104.55,42.006,,42.8,90.8,101.85
2019-05-17,4.4965,,43.905,50.472,,,41.192,,42.73,,
2019-05-20,4.434,107.0,43.415,49.926,140.9,104.5,40.802,153.5,42.605,90.9,101.7
2019-05-21,4.4725,108.4,43.775,50.274,141.35,104.55,41.184,155.05,42.815,90.92,101.85
2019-05-22,4.4545,109.72,43.69,50.224,140.85,104.55,41.224,156.45,42.805,90.86,101.65
2019-05-23,4.3915,108.52,43.085,49.519,141.3,104.65,40.674,154.5,42.68,90.86,101.85
2019-05-24,4.388,109.02,43.12,49.595,140.9,104.75,40.456,155.55,42.71,90.86,101.75
2019-05-27,4.4075,108.16,43.245,49.746,141.35,104.65,40.684,154.25,42.825,91.06,101.7
2019-05-28,4.4045,109.14,43.205,49.705,141.4,104.9,40.73,155.4,42.675,90.8,101.85
2019-05-29,4.353,106.24,42.755,49.076,140.95,104.7,40.816,152.6,42.285,90.88,101.9
2019-05-30,4.3625,,42.94,49.264,,,41.376,,42.36,,
2019-05-31,4.3245,,42.66,48.904,,,41.462,,42.34,,
2019-06-03,4.299,106.12,42.455,48.622,141.5,105.15,41.668,150.35,42.38,90.84,101.85
2019-06-04,4.3415,105.98,42.715,48.953,141.5,105.05,41.42,151.3,42.405,90.84,101.7
2019-06-05,4.361,,42.95,49.317,,,41.144,,42.785,,
